Optical Parameter Monitor 7.0.5319.1035

Power Meter,PM100D
Power Meter SN,P0046669
Sensor,S120C
Sensor SN,250305506
Sensor Type,Photodiode
Wavelength,532 nm
Range,Auto,range changed during the measurement.

Start of Measurement,2/2/2026 14:18:17
Elapsed Time,00:00:09:974
Samples,1693

--Statistics--
Minimum [W],7.7399E-05
Maximum [W],0.00012807
Mean [W],0.00011702
Standard Deviation [W],2.0368E-05
Ratio,1.655 : 1

--Graph Data--
Time (ms),Power (W)
2474.000,0.00012759
2477.000,0.0001276
2503.000,0.00012759
2510.000,0.00012748
2514.000,0.00012748
2517.000,0.00012746
2521.000,0.0001274
2524.000,0.00012739
2527.000,0.00012745
2555.000,0.00012751
2559.000,0.00012749
2562.000,0.00012747
2568.000,0.00012751
2572.000,0.0001275
2575.000,0.00012745
2600.000,0.00012746
2604.000,0.00012744
2607.000,0.00012745
2611.000,0.00012743
2614.000,0.00012742
2617.000,0.00012744
2621.000,0.00012743
2627.000,0.00012737
2652.000,0.00012733
2656.000,0.00012734
2659.000,0.00012738
2662.000,0.0001274
2666.000,0.00012745
2669.000,0.00012746
2673.000,0.00012748
2676.000,0.00012746
2702.000,0.00012744
2705.000,0.00012743
2708.000,0.00012742
2711.000,0.00012747
2717.000,0.00012752
2721.000,0.00012754
2724.000,0.00012755
2727.000,0.00012758
2734.000,0.00012752
2737.000,0.00012752
2740.000,0.00012752
2744.000,0.00012753
2747.000,0.00012753
2750.000,0.00012752
2754.000,0.00012754
2757.000,0.00012753
2760.000,0.00012756
2763.000,0.00012758
2767.000,0.0001276
2770.000,0.00012765
2774.000,0.00012766
2777.000,0.00012768
2803.000,0.00012769
2807.000,0.00012753
2810.000,0.00012754
2814.000,0.00012757
2817.000,0.00012761
2824.000,0.00012764
2827.000,0.00012766
2853.000,0.00012754
2856.000,0.00012754
2860.000,0.00012748
2864.000,0.00012754
2869.000,0.0001276
2873.000,0.00012762
2876.000,0.00012764
2902.000,0.00012767
2905.000,0.00012757
2909.000,0.00012755
2913.000,0.00012753
2917.000,0.00012757
2920.000,0.00012761
2925.000,0.00012766
2953.000,0.00012766
2956.000,0.00012756
2960.000,0.00012754
2963.000,0.00012752
2966.000,0.00012752
2970.000,0.00012759
2974.000,0.00012765
2977.000,0.0001277
3004.000,0.00012771
3008.000,0.00012754
3011.000,0.00012752
3015.000,0.00012749
3018.000,0.00012751
3021.000,0.00012753
3025.000,0.00012758
3029.000,0.00012756
3033.000,0.00012763
3036.000,0.00012765
3040.000,0.00012764
3043.000,0.00012761
3047.000,0.00012754
3050.000,0.00012751
3053.000,0.00012746
3057.000,0.00012745
3060.000,0.00012734
3063.000,0.00012734
3067.000,0.00012734
3070.000,0.00012735
3073.000,0.00012736
3102.000,0.00012742
3106.000,0.00012747
3109.000,0.00012743
3112.000,0.00012739
3115.000,0.00012739
3118.000,0.00012738
3122.000,0.00012739
3125.000,0.0001274
3153.000,0.00012741
3157.000,0.00012758
3160.000,0.00012749
3164.000,0.00012744
3167.000,0.00012742
3170.000,0.00012743
3173.000,0.00012746
3177.000,0.00012743
