Optical Parameter Monitor 7.0.5319.1035

Power Meter,PM100D
Power Meter SN,P0046669
Sensor,S120C
Sensor SN,250305506
Sensor Type,Photodiode
Wavelength,532 nm
Range,Auto,range changed during the measurement.

Start of Measurement,2/2/2026 13:24:27
Elapsed Time,00:00:09:999
Samples,1694

--Statistics--
Minimum [W],0.00050163
Maximum [W],0.00092187
Mean [W],0.00085604
Standard Deviation [W],9.4286E-05
Ratio,1.838 : 1

--Graph Data--
Time (ms),Power (W)
1812.000,0.00083043
1817.000,0.00083102
1848.000,0.00083222
1851.000,0.00083428
1854.000,0.00083385
1857.000,0.00083359
1861.000,0.00083395
1864.000,0.00083395
1867.000,0.00083428
1871.000,0.00083447
1898.000,0.00083516
1901.000,0.00083825
1904.000,0.00083767
1907.000,0.00083744
1911.000,0.00083688
1915.000,0.00083711
1918.000,0.00083721
1921.000,0.00083721
1925.000,0.00083793
1928.000,0.0008391
1932.000,0.00083982
1936.000,0.0008406
1939.000,0.00084119
1942.000,0.00084141
1945.000,0.00084164
1949.000,0.00084177
1953.000,0.00084148
1956.000,0.00084109
1959.000,0.00084047
1962.000,0.00084044
1965.000,0.00084037
1968.000,0.0008406
1972.000,0.00084073
2000.000,0.00084099
2004.000,0.00084578
2008.000,0.00084506
2014.000,0.00084487
2017.000,0.000845
2021.000,0.00084529
2046.000,0.00084594
2050.000,0.0008507
2054.000,0.00085086
2057.000,0.00085093
2061.000,0.00085103
2064.000,0.00085083
2068.000,0.00085116
2071.000,0.00085152
2097.000,0.00085191
2101.000,0.00085738
2104.000,0.00085771
2107.000,0.00085784
2113.000,0.00085807
2116.000,0.00085829
2119.000,0.00085852
2122.000,0.00085842
2158.000,0.00086455
2161.000,0.00086462
2165.000,0.00086484
2168.000,0.00086455
2172.000,0.00086484
2200.000,0.00086494
2203.000,0.00086856
2207.000,0.00086898
2210.000,0.00086944
2213.000,0.00086957
2216.000,0.00086976
2220.000,0.00086986
2223.000,0.0008698
2227.000,0.00086983
2230.000,0.00086983
2234.000,0.00087012
2237.000,0.00087058
2241.000,0.00087123
2244.000,0.00087159
2248.000,0.00087195
2251.000,0.0008728
2254.000,0.00087319
2258.000,0.00087381
2261.000,0.000874
2267.000,0.00087452
2270.000,0.00087465
2273.000,0.00087439
2299.000,0.0008754
2303.000,0.00087609
2306.000,0.00087687
2309.000,0.00087716
2313.000,0.00087749
2316.000,0.00087755
