Optical Parameter Monitor,,,,,Start angle scan
7.0.5319.1035,,,,,Angle = 180.00 deg
Delimiter Used: ; ';',,,,,Angle = 184.99 deg
,,,,,Angle = 190.00 deg
Start of Measurement ; 2/2/2026 15:11:10,,,,,Angle = 194.99 deg
Sample Interval ; 1 s,,,,,Angle = 200.01 deg
; PM100D 250305506,,,,,Angle = 205.01 deg
Type; PM100D,,,,,Angle = 209.99 deg
Serialnumber; P0046669,,,,,Angle = 215.00 deg
Sensor; S120C,,,,,Angle = 220.00 deg
SensorSerialnumber; 250305506,,,,,Angle = 225.00 deg
Wavelength / Responsivity; 633 nm,,,,,Angle = 230.01 deg
,,,,,Angle = 235.00 deg
;;;PM100D 250305506; ,,,,,Angle = 239.99 deg
Samples ;Date (MM/dd/yyyy) ;Time of day (hh:mm:ss) ;Power (W);,,,,,Angle = 244.99 deg
152; 2/2/2026; 15:13:45.344;5,5.00E-04,,,,
153; 2/2/2026; 15:13:46.358;5,3.44E-04,,,,
154; 2/2/2026; 15:13:47.377;5,3.73E-04,,,,
155; 2/2/2026; 15:13:48.395;5,3.33E-04,,,,
156; 2/2/2026; 15:13:49.410;5,3.35E-04,,,,
157; 2/2/2026; 15:13:50.423;5,3.24E-04,,,,
158; 2/2/2026; 15:13:51.441;5,4.98E-04,,,,
159; 2/2/2026; 15:13:52.456;5,5.88E-04,,,,
160; 2/2/2026; 15:13:53.471;5,6.48E-04,,,,
161; 2/2/2026; 15:13:54.485;5,4.89E-04,,,,
162; 2/2/2026; 15:13:55.507;5,5.30E-04,,,,
163; 2/2/2026; 15:13:56.519;1,6.56E-04,,,,
164; 2/2/2026; 15:13:57.526;1,5.55E-04,,,,
165; 2/2/2026; 15:13:58.542;1,6.51E-04,,,,
166; 2/2/2026; 15:13:59.556;1,9.36E-04,,,,
167; 2/2/2026; 15:14:00.572;1,8.25E-04,,,,
168; 2/2/2026; 15:14:01.587;1,7.92E-04,,,,
169; 2/2/2026; 15:14:02.609;3,6.89E-03,,,,
170; 2/2/2026; 15:14:03.625;3,6.27E-03,,,,
171; 2/2/2026; 15:14:04.643;3,5.94E-03,,,,
172; 2/2/2026; 15:14:05.658;3,6.11E-03,,,,
173; 2/2/2026; 15:14:06.673;3,6.20E-03,,,,
174; 2/2/2026; 15:14:07.695;1,3.59E-03,,,,
175; 2/2/2026; 15:14:08.711;1,2.77E-03,,,,
176; 2/2/2026; 15:14:09.731;1,4.19E-03,,,,
177; 2/2/2026; 15:14:10.746;1,4.38E-03,,,,
178; 2/2/2026; 15:14:11.764;1,4.40E-04,,,,
179; 2/2/2026; 15:14:12.784;2,3.63E-02,,,,
180; 2/2/2026; 15:14:13.802;2,3.79E-02,,,,
181; 2/2/2026; 15:14:14.814;2,3.87E-02,,,,
182; 2/2/2026; 15:14:15.831;2,3.83E-02,,,,
183; 2/2/2026; 15:14:16.845;2,3.87E-02,,,,
184; 2/2/2026; 15:14:17.859;2,3.91E-02,,,,
185; 2/2/2026; 15:14:18.873;4,5.98E-02,,,,
186; 2/2/2026; 15:14:19.886;4,6.05E-02,,,,
187; 2/2/2026; 15:14:20.900;4,6.13E-03,,,,
188; 2/2/2026; 15:14:21.915;4,6.08E-02,,,,
189; 2/2/2026; 15:14:22.941;4,6.05E-02,,,,
190; 2/2/2026; 15:14:23.953;7,9.22E-02,,,,
191; 2/2/2026; 15:14:24.967;7,9.55E-02,,,,
192; 2/2/2026; 15:14:25.975;7,9.48E-02,,,,
193; 2/2/2026; 15:14:26.995;7,9.49E-03,,,,
194; 2/2/2026; 15:14:28.013;7,9.58E-02,,,,
195; 2/2/2026; 15:14:29.028;7,9.64E-02,,,,
196; 2/2/2026; 15:14:30.045;7,9.51E-02,,,,
197; 2/2/2026; 15:14:31.059;7,9.65E-02,,,,
198; 2/2/2026; 15:14:32.073;7,9.61E-02,,,,
199; 2/2/2026; 15:14:33.085;7,9.32E-02,,,,
200; 2/2/2026; 15:14:34.099;7,9.48E-02,,,,
201; 2/2/2026; 15:14:35.121;7,9.35E-02,,,,
202; 2/2/2026; 15:14:36.132;7,9.35E-02,,,,
203; 2/2/2026; 15:14:37.148;7,9.48E-03,,,,
204; 2/2/2026; 15:14:38.166;7,9.44E-02,,,,
205; 2/2/2026; 15:14:39.179;7,9.25E-02,,,,
206; 2/2/2026; 15:14:40.193;7,9.51E-02,,,,
207; 2/2/2026; 15:14:41.206;7,9.51E-02,,,,
